"","Code","learn","Age"
"5","2a8i7h_3",2,74
"7","2k8e2d_3",2,80
"9","2p8t2a_3",2,74
"10","2w8u2x_3",2,82
"12","3m7t4n_3",2,79
"13","3p7o4j_3",2,77
"16","4h6t8g_3",2,78
"17","4i6u8d_3",2,79
"19","4n6z1b_3",2,80
"20","4o6p1k_3",2,74
"21","4p6e8v_3",2,75
"22","4t3p3h_3",2,68
"24","5h5o2n_3",2,78
"25","5i5q2l_3",2,72
"28","5n5p7s_3",2,67
"29","5o5r7c_3",2,68
"30","6i4t4x_3",2,68
"32","6u4w5m_3",2,72
"39","8d2w7c_3",2,72
"40","8f2t2d_3",2,71
"45","9a1p5m_3",2,79
"47","9d1z5f_3",2,78
"48","9e1w5k_3",2,77
"49","9s1e4x_3",2,74
"50","Y1G_3",1,20
"51","Y1I_3",1,27
"52","Y1K_3",1,24
"53","Y1L_3",1,23
"54","Y1N_3",1,22
"55","Y1Q_3",1,21
"56","Y1S_3",1,26
"57","Y2E_3",1,20
"59","Y2H_3",1,21
"60","Y2J_3",1,21
"61","Y2O_3",1,26
"62","Y2U_3",1,26
"63","Y2X_3",1,20
"64","Y2Z_3",1,20
"65","Y3A_3",1,22
"66","Y3B_3",1,22
"67","Y3G_3",1,23
"68","Y3J_3",1,24
"69","Y3M_3",1,29
"70","Y3P_3",1,21
"71","Y3V_3",1,22
"72","Y3W_3",1,20
"73","Y3X_3",1,23
"74","Y4A_3",1,28
"75","Y4K_3",1,24
"76","Y4P_3",1,25
"77","Y4Z_3",1,23
"78","Y5B_3",1,20
"79","Y5P_3",1,24
