"","Code","learn","Age"
"1","1d9p3m_3",1,67
"2","1l9w3s_3",1,71
"3","1r9o8d_3",1,78
"6","2e8p9f_3",1,74
"8","2l8z9k_3",1,69
"11","3k7u6l_3",1,68
"14","3q7i5y_3",1,77
"15","3y7e4d_3",1,74
"18","4m6o8a_3",1,68
"23","4u6r3c_3",1,81
"26","5k5t2g_3",1,75
"27","5m5e2j_3",1,73
"31","6j4z5h_3",1,76
"33","6v4i5c_3",1,75
"34","7b3t8l_3",1,78
"35","7f3q8v_3",1,69
"36","7g3r3s_3",1,83
"37","7z338n_3",1,71
"38","8c2e2g_3",1,79
"41","8r2q2j_3",1,73
"42","8s2o2l_3",1,74
"43","8t2r9b_3",1,81
"44","8v2z7m_3",1,75
"46","9c1u4n_3",1,69
